Episodes,Animation,Compositing,Layout,Rendering
410,0.0,0.0,100.0,0.0
420,0.0,0.0,100.0,0.0
430,0.0,0.0,100.0,0.0
440,0.0,0.0,100.0,0.0
450,0.0,0.0,100.0,0.0
460,0.0,0.0,100.0,0.0
470,0.0,0.0,100.0,0.0
480,0.0,0.0,100.0,0.0
490,0.0,0.0,100.0,0.0
500,0.0,0.0,100.0,0.0
510,0.0,0.0,100.0,0.0
520,0.0,0.0,100.0,0.0
530,0.0,0.0,100.0,0.0
540,0.0,0.0,0.0,0.0
550,0.0,0.0,0.0,0.0
560,0.0,0.0,100.0,0.0
570,0.0,0.0,100.0,0.0
580,0.0,0.0,0.0,0.0
590,0.0,0.0,0.0,0.0
600,0.0,0.0,0.0,0.0
610,0.0,0.0,0.0,0.0
620,0.0,0.0,0.0,0.0
630,0.0,0.0,100.0,0.0
640,0.0,0.0,0.0,0.0
